name,type,lat,lon
LANY TOUNKA [1er C],school,14.7177533,-12.0573945
LANY TOUNKA [2ème C],school,14.7167467,-12.0583333
MANTHIA,school,15.3546044,-10.0032074
MEDERSA TAMBACARA II,school,15.071761,-10.8383977
École de Nagara,school,15.3696678,-11.6088665
NAHALY,school,15.06465,-11.7607
NASER DINE AL ISSLAMIE:TAMBACARA [1er C],school,15.0717833,-10.8384
NASER DINE AL ISSLAMIE:TAMBACARA [2ème C],school,15.0717697,-10.8383977
SABIL AL IMANE KREMIS I [1er C],school,15.3515774,-10.3463483
SABIL AL IMANE KREMIS I [2ème C],school,15.3516058,-10.3463255
SABIL ALFALAHI de GOUNDIAM,school,14.6618667,-12.1656
SABIL RACHADI:KOMEOULOU II [1er C],school,15.0947748,-10.811134
SABIL RACHADI:KOMEOULOU II [2ème C],school,15.0947788,-10.8111335
TAFACIRGA [1er C].,school,14.7573502,-12.1846895
TAFACIRGA [2ème C] (RG),school,14.7573139,-12.18536
École de Tafara,school,15.6246913,-11.4179274
TAMBACARA [1er C]ycle,school,15.0717907,-10.8384
TAMBACARA [2ème C],school,15.0717765,-10.8383977
École primaire de Taskaye,school,15.4926,-11.3154833
TICHY AMBIDEDI [2ème C],school,14.99135,-11.7913333
TICHY-AMBIDEDI,school,14.99135,-11.7913333
WAÏNKANOU,school,15.3512833,-10.1387167
YAGUINE,school,15.1231756,-10.7289898
Yaguine [2ème C],school,15.1243486,-10.7224667
M'BEDIATT,school,15.4524046,-8.8038684
MEDERSA EL HILLALY BIROU NIAKATE,school,15.4649091,-8.0718184
KOUROUKERE,school,15.4227,-9.48615
KOUROUKERE [2ème C],school,15.4227,-9.48615
MEDERSA ALITIHADE NAFADJI,school,15.5573167,-9.2342833
Ecole fondamentale de Makona,school,11.9064339,-5.7057868
Ecole fondamentale de Dignagan,school,11.5907725,-5.7862061
Lycée la planète,school,12.5881147,-7.9890833
KAKOULOU [1er C].,school,15.43675,-10.3859833
AL FALAH:Kremis II,school,15.3515657,-10.3463597
AL ITIHAD KALINIORO,school,15.3580667,-11.7499
Assa adatou:Yaguiné II,school,15.1243084,-10.72246
GOUNDIAM,school,14.6618667,-12.1656
INSTITUT CULTUREL TAFACIRGA [2ème C];INSTITUT CULTUREL TAFACIRGA [1er C],school,14.7571038,-12.1906762
INSTITUT TAMARO Medersa [1er C],school,15.1077,-10.7624833
KALINIORO [1er C].,school,15.358375,-11.7500545
