id,relid,year,active_year,code_status,type_of_violence,conflict_dset_id,conflict_new_id,conflict_name,dyad_dset_id,dyad_new_id,dyad_name,side_a_dset_id,side_a_new_id,side_a,side_b_dset_id,side_b_new_id,side_b,number_of_sources,source_article,source_office,source_date,source_headline,source_original,where_prec,where_coordinates,where_description,adm_1,adm_2,latitude,longitude,geom_wkt,priogrid_gid,country,country_id,region,event_clarity,date_prec,date_start,date_end,deaths_a,deaths_b,deaths_civilians,deaths_unknown,best,high,low,gwnoa,gwnob
476752,MLI-2023-1-15108-91,2023,true,Clear,1,11347,11347,Mali: Government,15108,15108,Government of Mali - JNIM,72,72,Government of Mali,6716,6716,JNIM,2,"""@ocisse691,2023-06-05,#Mali #Koulikoro"";""Africa Research Bulletin,2023-07-14,MALI: MINUSMA Forced Out""",@ocisse691;Africa Research Bulletin,2023-06-05;2023-07-14,#Mali #Koulikoro;MALI: MINUSMA Forced Out,,4,Koulikoro region,"#Baoulé on the #Keniéba - #Kati axis, #Koulikoro",Koulikoro region,,14.000000,-7.750000,POINT (-7.75 14),150105,Mali,432,Africa,1,1,2023-06-05 00:00:00.000,2023-06-05 00:00:00.000,2,1,0,0,3,7,2,432,
480073,MLI-2023-1-15108-97,2023,true,Clear,1,11347,11347,Mali: Government,15108,15108,Government of Mali - JNIM,72,72,Government of Mali,6716,6716,JNIM,5,"""@Walid_Leberbere,2023-06-09,#Tombouctou"";""@Wamaps_news,2023-06-12,#Mali"";""@UN_MINUSMA,2023-06-12,Highlights of our news from 5 to 11 June"";""@SimNasr,2023-06-12,#Mali"";""Agence France Presse,2023-06-13,Al-Qaeda-linked Group Claims Deadly Mali Attack On UN Peacekeepers""",@Walid_Leberbere;@Wamaps_news;@UN_MINUSMA;@SimNasr;Agence France Presse,2023-06-09;2023-06-12;2023-06-12;2023-06-12;2023-06-13,#Tombouctou;#Mali;Highlights of our news from 5 to 11 June;#Mali;Al-Qaeda-linked Group Claims Deadly Mali Attack On UN Peacekeepers,,2,Ber town,"Near the city of Ber, Tombouctou",Tombouctou region,Tombouctou cercle,16.833055,-2.528888,POINT (-2.528888 16.833055),153715,Mali,432,Africa,1,1,2023-06-09 00:00:00.000,2023-06-09 00:00:00.000,2,0,0,0,2,2,2,432,
480099,MLI-2023-1-15108-96,2023,true,Clear,1,11347,11347,Mali: Government,15108,15108,Government of Mali - JNIM,72,72,Government of Mali,6716,6716,JNIM,1,"""@Wamaps_news,2023-06-15,#Mali """,@Wamaps_news,2023-06-15,#Mali,,1,Keibane village,"keibane, 6km north of Nara, Koulikoro",Koulikoro region,Nara cercle,15.247391,-7.269189,POINT (-7.2691896 15.247391),151546,Mali,432,Africa,1,1,2023-06-11 00:00:00.000,2023-06-11 00:00:00.000,2,0,0,0,2,2,2,432,
479789,MLI-2023-1-15108-92,2023,true,Clear,1,11347,11347,Mali: Government,15108,15108,Government of Mali - JNIM,72,72,Government of Mali,6716,6716,JNIM,1,"""@ocisse691,2023-06-24,#Mali""",@ocisse691,2023-06-24,#Mali,Local source,1,Mopti town,Mopti city centre,Mopti region,Mopti cercle,14.484300,-4.182960,POINT (-4.18296 14.4843),150112,Mali,432,Africa,1,1,2023-06-23 00:00:00.000,2023-06-23 00:00:00.000,1,0,0,0,1,1,1,432,
485174,MLI-2023-1-15108-120,2023,true,Clear,1,11347,11347,Mali: Government,15108,15108,Government of Mali - JNIM,72,72,Government of Mali,6716,6716,JNIM,1,"""International Crisis Group,2023-08-01,Crisis Watch: Mali JULY 2023""",International Crisis Group,2023-08-01,Crisis Watch: Mali JULY 2023,,1,Sévaré town,Sévéri village,Mopti region,Mopti cercle,14.527420,-4.093440,POINT (-4.09344 14.52742),150832,Mali,432,Africa,1,3,2023-07-01 00:00:00.000,2023-07-07 00:00:00.000,0,7,0,0,7,7,7,432,
481305,MLI-2023-1-15108-98,2023,true,Clear,1,11347,11347,Mali: Government,15108,15108,Government of Mali - JNIM,72,72,Government of Mali,6716,6716,JNIM,1,"""@ocisse691,2023-07-03,#Mali #Mopti""",@ocisse691,2023-07-03,#Mali #Mopti,,1,Thy village,Thy checkpoint,Mopti region,Mopti cercle,14.599580,-4.063590,POINT (-4.06359 14.59958),150832,Mali,432,Africa,1,1,2023-07-02 00:00:00.000,2023-07-02 00:00:00.000,2,0,0,0,2,2,2,432,
482530,MLI-2023-1-15108-99.1,2023,true,Clear,1,11347,11347,Mali: Government,15108,15108,Government of Mali - JNIM,72,72,Government of Mali,6716,6716,JNIM,3,"""Larmes des pauvres,2023-07-13,Tweet"";""Larmes des pauvres,2023-07-20,Tweet"";""International Crisis Group,2023-08-01,Crisis Watch: Mali JULY 2023""",Larmes des pauvres;Larmes des pauvres;International Crisis Group,2023-07-13;2023-07-20;2023-08-01,Tweet;Tweet;Crisis Watch: Mali JULY 2023,The General Staff of the Armed Forces,2,Sokolo town,In the Sokolo sector,Segou region,Niono cercle,14.732800,-6.121900,POINT (-6.1219 14.7328),150828,Mali,432,Africa,1,1,2023-07-12 00:00:00.000,2023-07-12 00:00:00.000,0,0,0,0,0,1,0,432,
483348,MLI-2023-1-15108-99.2,2023,true,Clear,1,11347,11347,Mali: Government,15108,15108,Government of Mali - JNIM,72,72,Government of Mali,6716,6716,JNIM,2,"""Larmes des pauvres,2023-07-13,Tweet"";""Larmes des pauvres,2023-07-20,Tweet""",Larmes des pauvres;Larmes des pauvres,2023-07-13;2023-07-20,Tweet;Tweet,The General Staff of the Armed Forces,2,Farabougou village,"Farabougou forest

in a forest not far from the hamlet",Segou region,Niono cercle,14.892100,-6.141400,POINT (-6.1414 14.8921),150828,Mali,432,Africa,1,1,2023-07-12 00:00:00.000,2023-07-12 00:00:00.000,0,0,0,0,0,1,0,432,
484381,MLI-2023-1-15108-114,2023,true,Clear,1,11347,11347,Mali: Government,15108,15108,Government of Mali - JNIM,72,72,Government of Mali,6716,6716,JNIM,2,"""Reuters News,2023-07-18,One U.N. peacekeeper killed and four injured in north Mali attack"";""Reuters News,2023-07-18,CORRECTED-UPDATE 1-One U.N. peacekeeper killed and four injured in north Mali attack""",Reuters News;Reuters News,2023-07-18;2023-07-18,One U.N. peacekeeper killed and four injured in north Mali attack;CORRECTED-UPDATE 1-One U.N. peacekeeper killed and four injured in north Mali attack,MINUSMA,2,Ber town,"northern Mali 

near the town of Ber, in the region of Tombouctou",Tombouctou region,Tombouctou cercle,16.833055,-2.528888,POINT (-2.528888 16.833055),153715,Mali,432,Africa,1,1,2023-07-14 00:00:00.000,2023-07-14 00:00:00.000,1,0,0,0,1,1,1,432,
482770,MLI-2023-1-15108-100.1,2023,true,Clear,1,11347,11347,Mali: Government,15108,15108,Government of Mali - JNIM,72,72,Government of Mali,6716,6716,JNIM,1,"""Larmes des pauvres,2023-07-20,Tweet""",Larmes des pauvres,2023-07-20,Tweet,The General Staff of the Armed Forces,1,Bima village,"villages of Bima and Sani-Saré, not far from Konna

regions of #Mopti and #Ségou",Mopti region,Bandiagara cercle,14.910000,-3.768990,POINT (-3.76899 14.91),150833,Mali,432,Africa,1,1,2023-07-17 00:00:00.000,2023-07-17 00:00:00.000,0,0,0,0,0,1,0,432,
