name,type,lat,lon,nearby_conflict_date
YANGASSADIOU [1er C],school,14.65195,-1.77564,2020-06-03 00:00:00.000
YANGASSADIOU SC,school,14.65195,-1.77564,2020-06-03 00:00:00.000
YENDOUMA,school,14.56,-3.24,2022-05-09 00:00:00.000
YENDOUMA - ATÔ,school,14.56,-3.24,2022-05-09 00:00:00.000
YENDOUMA [2ème C],school,14.56,-3.24,2022-05-09 00:00:00.000
DAROUL HADIS KOUMAREFARA,school,14.71605,-11.3487833,2022-06-01 00:00:00.000
KOUMAREFARA,school,14.71605,-11.3487833,2022-06-01 00:00:00.000
MEDERSA RAOUDATOUL ISLAM [1er C],school,14.5354949,-4.0950292,2012-04-01 00:00:00.000
MEDERSA RAOUDATOUL ISLAM [2ème C],school,14.5355378,-4.0950104,2012-04-01 00:00:00.000
MEDERSA SAADA [2ème C],school,14.5355118,-4.0950232,2012-04-01 00:00:00.000
MEDERSA SABIL ELHIDAYATI [1er C],school,14.5355053,-4.0950513,2012-04-01 00:00:00.000
MEDERSA SABIL ELHIDAYATI [2ème C],school,14.5355014,-4.0949669,2012-04-01 00:00:00.000
MEDERSA-MINHADJ SALAMA [1er C],school,14.5355222,-4.0950433,2012-04-01 00:00:00.000
MEDERSA-MINHADJ SALAMA [2ème C],school,14.5355508,-4.0950198,2012-04-01 00:00:00.000
MEDINA - COURA École privée,school,14.5355027,-4.0950252,2012-04-01 00:00:00.000
NANTAKA,school,14.54,-4.212,2018-06-13 00:00:00.000
NOUROUDINE,school,14.53548,-4.0950393,2012-04-01 00:00:00.000
NOUROUL HOUDA [1er C],school,14.5355326,-4.0950386,2012-04-01 00:00:00.000
NOUROUL HOUDA [2ème C],school,14.5355209,-4.0950312,2012-04-01 00:00:00.000
OUMOU SOULEYM [1er C],school,14.5355345,-4.0950292,2012-04-01 00:00:00.000
OUMOU SOULEYM [2ème C],school,14.5355021,-4.0950198,2012-04-01 00:00:00.000
PERSUGUE ECOM,school,14.5354807,-4.0950406,2012-04-01 00:00:00.000
RISSALATOUL ISLAM [1er C],school,14.5355417,-4.0950493,2012-04-01 00:00:00.000
RISSALATOUL ISLAM [2ème C],school,14.5355203,-4.0950064,2012-04-01 00:00:00.000
ROSEMARIE E BECK,school,14.5355196,-4.0950265,2012-04-01 00:00:00.000
Sorry Ibrahim Thiokary (S.I.T),school,13.9058332,-4.5537707,2018-01-09 00:00:00.000
SABILOU NADIAHI WALHOUDA [1er C],school,14.535517,-4.0950534,2012-04-01 00:00:00.000
SABILOU NADIAHI WALHOUDA [2ème C],school,14.5355332,-4.095058,2012-04-01 00:00:00.000
SAYA,school,14.5354885,-4.0950104,2012-04-01 00:00:00.000
SOSSOBE,school,14.5602129,-4.6740085,2023-03-06 00:00:00.000
SOSSOBE [2ème C],school,14.5595431,-4.6744806,2023-03-06 00:00:00.000
SOYE [2ème C],school,14.5355118,-4.095046,2012-04-01 00:00:00.000
TOLERANCE [1er C],school,14.535531,-4.0950556,2012-04-01 00:00:00.000
TOLERANCE [2ème C],school,14.5355066,-4.0950064,2012-04-01 00:00:00.000
DIEMA B,school,14.5314709,-9.1947643,2018-11-30 00:00:00.000
Gomitra,school,14.4237994,-8.2765597,2022-03-22 00:00:00.000
MEDERSA SEYFILAHI(SANDARE),school,14.7046,-10.3046167,2024-11-25 00:00:00.000
